Bucket,artist,artistKey,artistSearch,album,albumKey,albumSearch,albumDate,albumLoc,albumSrc,start,end,flag
dharmacast,Ajahn Jayasaro,AJB,Ajahn Jayasaro,Lecture on Happiness,LOH,Lecture on Happiness,4/10/2013,Georgetown District of Colombia,https://www.youtube.com/watch?v=-IHpwKa0E2Q,,,
dharmacast,Ajahn Jayasaro,AJB,Ajahn Jayasaro,Practicing positive emotion,PPE,Practicing positive emotion,8/4/2013,"Bahn Boon Rai Thawsi Pakchong Nakong",https://www.youtube.com/watch?v=Js7VVJK5SX0,,,
dharmacast,Ajahn Jayasaro,AJB,Ajahn Jayasaro,Suffering And Kamma,SAK,Suffering And Kamma,02/22/2013,"",https://www.youtube.com/watch?v=IQChqAJHXFA,,,
dharmacast,Ajahn Jayasaro,AJB,Ajahn Jayasaro,Talk on happiness,TOH,Talk on happiness,11/10/2011,"",https://www.youtube.com/watch?v=NWAPtjzbYzI,,,
dharmacast,Ajahn Jayasaro,AJB,Ajahn Jayasaro,Dealing with negativity,DWN,Dealing with negativity,06/21/2015,"Pak Chong Nakorn Ratchasima Thailand",https://www.youtube.com/watch?v=7lIIHR5hT3c,,,
dharmacast,Ajahn Jayasaro,AJB,Ajahn Jayasaro,Developing Right Speech,DRS,Developing Right Speech,03/17/2013,"",https://www.youtube.com/watch?v=fYz8b_oCyIk,,,
dharmacast,Ajahn Jayasaro,AJB,Ajahn Jayasaro,The Glass Is Already Broken,GAB,The Glass Is Already Broken,01/24/2013,"",https://www.youtube.com/watch?v=JI2Mk4CuuoE,,,
dharmacast,Ajahn Jayasaro,AJB,Ajahn Jayasaro,Dealing with Anger,DWA,Dealing with Anger,06/18/2015,"",https://www.youtube.com/watch?v=ZdXd--FRjSA,,,
dharmacast,Ajahn Jayasaro,AJB,Ajahn Jayasaro,Dealing with fear and anxiety,DWFA,Dealing with fear and anxiety,01/23/2015,"",https://www.youtube.com/watch?v=_hu5onZPHJI,,,dd
dharmacast,Ajahn Jayasaro,AJB,Ajahn Jayasaro,Desire Conceit and Views,DCV,Desire Conceit and Views,12/29/2014,"",https://www.youtube.com/watch?v=Iudvw5S0aBk,,,
dharmacast,Ajahn Jayasaro,AJB,Ajahn Jayasaro,Framing,F,Framing,07/27/2014,"",https://www.youtube.com/watch?v=YfU3RKTWRVg,,,
dharmacast,Ajahn Jayasaro,AJB,Ajahn Jayasaro,Anatta and the Sense of Self,SS,Anatta and the Sense of Self,05/07/2015,"",https://www.youtube.com/watch?v=zf92BdOzpJo,,,
dharmacast,Ajahn Jayasaro,AJB,Ajahn Jayasaro,Buddhism in everyday life,BEL,Buddhism in everyday life,11/27/2014,"",https://www.youtube.com/watch?v=gwQakhgSte8,,,
dharmacast,Ajahn Jayasaro,AJB,Ajahn Jayasaro,Buddhism Education for Life,BEFL,Buddhism Education for Life,02/19/2015,"",https://www.youtube.com/watch?v=w3NpTAW2v8Y,,,
dharmacast,Ajahn Jayasaro,AJB,Ajahn Jayasaro,Beyond the Faith,BF,Beyond the Faith,07/13/2014,"",https://www.youtube.com/watch?v=3DGQPAhC-lc,,,
dharmacast,Matthieu Richard,MR,Matthieu Richard,Change your Mind Change your Brain,CMCB,Change your Mind Change your Brain,3/15/2007,Google Campus CA,https://www.youtube.com/watch?v=L_30JzRGDHI,,,
dharmacast,Matthieu Richard,MR,Matthieu Richard,The habits of happiness,HH,The habits of happiness,4/15/2008,TED,https://www.youtube.com/watch?v=vbLEf4HR74E,,,
